lower_tier_local_authorities_code,hhcomp_common,eth_common,value_21,value_11,value_01
E09000020,Couple/lone parent with no dependent children,White: Other,4784,5362,4498
E09000021,Couple/lone parent with no dependent children,Asian: Bangladeshi,38,35,13
E09000021,Couple/lone parent with no dependent children,Asian: Chinese,358,283,178
E09000021,Couple/lone parent with no dependent children,Asian: Indian,695,608,419
E09000021,Couple/lone parent with no dependent children,Asian: Other,1115,811,262
E09000021,Couple/lone parent with no dependent children,Asian: Pakistani,236,154,117
E09000021,Couple/lone parent with no dependent children,Black: African,223,117,60
E09000021,Couple/lone parent with no dependent children,Black: Caribbean,130,101,75
E09000021,Couple/lone parent with no dependent children,Black: Other,32,22,6
E09000021,Couple/lone parent with no dependent children,Mixed: Other,178,97,45
E09000021,Couple/lone parent with no dependent children,Mixed: White and Asian,149,98,61
E09000021,Couple/lone parent with no dependent children,Mixed: White and Black African,49,26,17
E09000021,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,48,43,21
E09000021,Couple/lone parent with no dependent children,Other,823,329,220
E09000021,Couple/lone parent with no dependent children,White: British,10727,12002,12546
E09000021,Couple/lone parent with no dependent children,White: Irish,429,406,466
E09000021,Couple/lone parent with no dependent children,White: Other,2178,1488,1076
E09000022,Couple/lone parent with no dependent children,Asian: Bangladeshi,132,100,78
E09000022,Couple/lone parent with no dependent children,Asian: Chinese,510,391,247
E09000022,Couple/lone parent with no dependent children,Asian: Indian,688,571,440
E09000022,Couple/lone parent with no dependent children,Asian: Other,577,510,145
E09000022,Couple/lone parent with no dependent children,Asian: Pakistani,227,177,138
E09000022,Couple/lone parent with no dependent children,Black: African,2804,1675,1293
E09000022,Couple/lone parent with no dependent children,Black: Caribbean,3187,2330,2222
E09000022,Couple/lone parent with no dependent children,Black: Other,534,521,164
E09000022,Couple/lone parent with no dependent children,Mixed: Other,632,347,152
E09000022,Couple/lone parent with no dependent children,Mixed: White and Asian,315,224,142
E09000022,Couple/lone parent with no dependent children,Mixed: White and Black African,214,196,79
E09000022,Couple/lone parent with no dependent children,Mixed: White and Black Caribbean,370,262,147
