lad22cd,lad22nm,age_common,cob_common,value_21,value_11,value_01
E09000031,Waltham Forest,Aged 0 to 15,The Americas and the Caribbean,258,466,510
E09000031,Waltham Forest,Aged 0 to 15,United Kingdom,51278,48466,42631
E09000032,Wandsworth,Aged 0 to 15,Africa,422,813,1053
E09000032,Wandsworth,Aged 0 to 15,"Antarctica, Oceania, and Other",163,212,222
E09000032,Wandsworth,Aged 0 to 15,Ireland,73,79,73
E09000032,Wandsworth,Aged 0 to 15,Middle East and Asia,1465,1427,1186
E09000032,Wandsworth,Aged 0 to 15,Rest of Europe,2759,2986,966
E09000032,Wandsworth,Aged 0 to 15,The Americas and the Caribbean,1031,800,617
E09000032,Wandsworth,Aged 0 to 15,United Kingdom,48035,44689,38354
E09000033,Westminster,Aged 0 to 15,Africa,318,555,771
E09000033,Westminster,Aged 0 to 15,"Antarctica, Oceania, and Other",48,105,137
E09000033,Westminster,Aged 0 to 15,Ireland,19,34,52
E09000033,Westminster,Aged 0 to 15,Middle East and Asia,1266,1555,1632
E09000033,Westminster,Aged 0 to 15,Rest of Europe,1821,2415,1291
E09000033,Westminster,Aged 0 to 15,The Americas and the Caribbean,1096,1337,1197
E09000033,Westminster,Aged 0 to 15,United Kingdom,22200,26583,19398
