date,geography_code,c2021_acctype_6_name,c2021_depch_3_name,c2021_bedrooms_5_name,obs_value
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,7377
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,5312
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,38
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,582
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,6526
2021,E09000004,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,6129
2021,E09000004,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,31
2021,E09000004,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,1673
2021,E09000004,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,4704
2021,E09000004,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,1375
2021,E09000004,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,13
2021,E09000004,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,839
2021,E09000004,Whole house or bungalow: Terraced,Aged 10 to 18 years,3 bedrooms,4565
2021,E09000004,Whole house or bungalow: Terraced,Aged 10 to 18 years,4 or more bedrooms,1738
2021,E09000004,"Flat, maisonette or apartment",Aged 0 to 9 years,1 bedroom,864
2021,E09000004,"Flat, maisonette or apartment",Aged 0 to 9 years,2 bedrooms,5503
2021,E09000004,"Flat, maisonette or apartment",Aged 0 to 9 years,3 bedrooms,951
2021,E09000004,"Flat, maisonette or apartment",Aged 0 to 9 years,4 or more bedrooms,99
2021,E09000004,"Flat, maisonette or apartment",Aged 10 to 18 years,1 bedroom,181
2021,E09000004,"Flat, maisonette or apartment",Aged 10 to 18 years,2 bedrooms,2600
2021,E09000004,"Flat, maisonette or apartment",Aged 10 to 18 years,3 bedrooms,1093
2021,E09000004,"Flat, maisonette or apartment",Aged 10 to 18 years,4 or more bedrooms,173
2021,E09000004,A caravan or other mobile or temporary structure,Aged 0 to 9 years,1 bedroom,1
2021,E09000004,A caravan or other mobile or temporary structure,Aged 0 to 9 years,2 bedrooms,19
2021,E09000004,A caravan or other mobile or temporary structure,Aged 0 to 9 years,3 bedrooms,4
2021,E09000004,A caravan or other mobile or temporary structure,Aged 0 to 9 years,4 or more bedrooms,0
2021,E09000004,A caravan or other mobile or temporary structure,Aged 10 to 18 years,1 bedroom,0
2021,E09000004,A caravan or other mobile or temporary structure,Aged 10 to 18 years,2 bedrooms,4
2021,E09000004,A caravan or other mobile or temporary structure,Aged 10 to 18 years,3 bedrooms,7
2021,E09000004,A caravan or other mobile or temporary structure,Aged 10 to 18 years,4 or more bedrooms,0
2021,E09000005,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,156
2021,E09000005,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,1187
2021,E09000005,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,7123
2021,E09000005,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,9634
2021,E09000005,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,86
2021,E09000005,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,1004
2021,E09000005,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,7982
2021,E09000005,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,10274
2021,E09000005,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,48
2021,E09000005,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,289
2021,E09000005,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,1015
2021,E09000005,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,1581
2021,E09000005,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,22
2021,E09000005,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,164
2021,E09000005,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,1012
2021,E09000005,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,1770
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,80
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,514
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,3769
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,4968
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,42
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,438
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,4329
2021,E09000005,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,5278
2021,E09000005,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,28
2021,E09000005,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,384
2021,E09000005,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,2339
2021,E09000005,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,3085
2021,E09000005,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,22
2021,E09000005,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,402
2021,E09000005,Whole house or bungalow: Terraced,Aged 10 to 18 years,3 bedrooms,2641
2021,E09000005,Whole house or bungalow: Terraced,Aged 10 to 18 years,4 or more bedrooms,3226
2021,E09000005,"Flat, maisonette or apartment",Aged 0 to 9 years,1 bedroom,3596
2021,E09000005,"Flat, maisonette or apartment",Aged 0 to 9 years,2 bedrooms,13402
2021,E09000005,"Flat, maisonette or apartment",Aged 0 to 9 years,3 bedrooms,3921
2021,E09000005,"Flat, maisonette or apartment",Aged 0 to 9 years,4 or more bedrooms,722
2021,E09000005,"Flat, maisonette or apartment",Aged 10 to 18 years,1 bedroom,1003
2021,E09000005,"Flat, maisonette or apartment",Aged 10 to 18 years,2 bedrooms,9556
2021,E09000005,"Flat, maisonette or apartment",Aged 10 to 18 years,3 bedrooms,4829
2021,E09000005,"Flat, maisonette or apartment",Aged 10 to 18 years,4 or more bedrooms,960
2021,E09000005,A caravan or other mobile or temporary structure,Aged 0 to 9 years,1 bedroom,11
2021,E09000005,A caravan or other mobile or temporary structure,Aged 0 to 9 years,2 bedrooms,12
2021,E09000005,A caravan or other mobile or temporary structure,Aged 0 to 9 years,3 bedrooms,10
2021,E09000005,A caravan or other mobile or temporary structure,Aged 0 to 9 years,4 or more bedrooms,17
2021,E09000005,A caravan or other mobile or temporary structure,Aged 10 to 18 years,1 bedroom,3
2021,E09000005,A caravan or other mobile or temporary structure,Aged 10 to 18 years,2 bedrooms,9
2021,E09000005,A caravan or other mobile or temporary structure,Aged 10 to 18 years,3 bedrooms,12
2021,E09000005,A caravan or other mobile or temporary structure,Aged 10 to 18 years,4 or more bedrooms,3
2021,E09000006,Whole house or bungalow,Aged 0 to 9 years,1 bedroom,69
2021,E09000006,Whole house or bungalow,Aged 0 to 9 years,2 bedrooms,3354
2021,E09000006,Whole house or bungalow,Aged 0 to 9 years,3 bedrooms,13076
2021,E09000006,Whole house or bungalow,Aged 0 to 9 years,4 or more bedrooms,13222
2021,E09000006,Whole house or bungalow,Aged 10 to 18 years,1 bedroom,52
2021,E09000006,Whole house or bungalow,Aged 10 to 18 years,2 bedrooms,1896
2021,E09000006,Whole house or bungalow,Aged 10 to 18 years,3 bedrooms,11015
2021,E09000006,Whole house or bungalow,Aged 10 to 18 years,4 or more bedrooms,15347
2021,E09000006,Whole house or bungalow: Detached,Aged 0 to 9 years,1 bedroom,10
2021,E09000006,Whole house or bungalow: Detached,Aged 0 to 9 years,2 bedrooms,215
2021,E09000006,Whole house or bungalow: Detached,Aged 0 to 9 years,3 bedrooms,1287
2021,E09000006,Whole house or bungalow: Detached,Aged 0 to 9 years,4 or more bedrooms,5046
2021,E09000006,Whole house or bungalow: Detached,Aged 10 to 18 years,1 bedroom,4
2021,E09000006,Whole house or bungalow: Detached,Aged 10 to 18 years,2 bedrooms,100
2021,E09000006,Whole house or bungalow: Detached,Aged 10 to 18 years,3 bedrooms,1148
2021,E09000006,Whole house or bungalow: Detached,Aged 10 to 18 years,4 or more bedrooms,6141
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,1 bedroom,26
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,2 bedrooms,1295
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,3 bedrooms,6595
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 0 to 9 years,4 or more bedrooms,5594
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,1 bedroom,25
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,2 bedrooms,736
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,3 bedrooms,5562
2021,E09000006,Whole house or bungalow: Semi-detached,Aged 10 to 18 years,4 or more bedrooms,6532
2021,E09000006,Whole house or bungalow: Terraced,Aged 0 to 9 years,1 bedroom,33
2021,E09000006,Whole house or bungalow: Terraced,Aged 0 to 9 years,2 bedrooms,1844
2021,E09000006,Whole house or bungalow: Terraced,Aged 0 to 9 years,3 bedrooms,5194
2021,E09000006,Whole house or bungalow: Terraced,Aged 0 to 9 years,4 or more bedrooms,2582
2021,E09000006,Whole house or bungalow: Terraced,Aged 10 to 18 years,1 bedroom,23
2021,E09000006,Whole house or bungalow: Terraced,Aged 10 to 18 years,2 bedrooms,1060
2021,E09000006,Whole house or bungalow: Terraced,Aged 10 to 18 years,3 bedrooms,4305
2021,E09000006,Whole house or bungalow: Terraced,Aged 10 to 18 years,4 or more bedrooms,2674
2021,E09000006,"Flat, maisonette or apartment",Aged 0 to 9 years,1 bedroom,1255
2021,E09000006,"Flat, maisonette or apartment",Aged 0 to 9 years,2 bedrooms,7029
2021,E09000006,"Flat, maisonette or apartment",Aged 0 to 9 years,3 bedrooms,1924
2021,E09000006,"Flat, maisonette or apartment",Aged 0 to 9 years,4 or more bedrooms,133
2021,E09000006,"Flat, maisonette or apartment",Aged 10 to 18 years,1 bedroom,252
2021,E09000006,"Flat, maisonette or apartment",Aged 10 to 18 years,2 bedrooms,3316
2021,E09000006,"Flat, maisonette or apartment",Aged 10 to 18 years,3 bedrooms,2043
2021,E09000006,"Flat, maisonette or apartment",Aged 10 to 18 years,4 or more bedrooms,152
2021,E09000006,A caravan or other mobile or temporary structure,Aged 0 to 9 years,1 bedroom,1
2021,E09000006,A caravan or other mobile or temporary structure,Aged 0 to 9 years,2 bedrooms,22
2021,E09000006,A caravan or other mobile or temporary structure,Aged 0 to 9 years,3 bedrooms,17
2021,E09000006,A caravan or other mobile or temporary structure,Aged 0 to 9 years,4 or more bedrooms,12
2021,E09000006,A caravan or other mobile or temporary structure,Aged 10 to 18 years,1 bedroom,4
