date,geography_code,c_sex_name,c_age_name,c_cob_name,obs_value
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: England,9672
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: Northern Ireland,138
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: Scotland,388
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: Wales,208
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: Great Britain not otherwise specified,2
2011,E09000007,Females,Age 35 to 49,Europe: United Kingdom: United Kingdom not otherwise specified,2
2011,E09000007,Females,Age 35 to 49,Europe: Ireland,431
2011,E09000007,Females,Age 35 to 49,Europe: Other Europe: EU countries: Member countries in March 2001,2339
2011,E09000007,Females,Age 35 to 49,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,685
2011,E09000007,Females,Age 35 to 49,Europe: Other Europe: Rest of Europe,1295
2011,E09000007,Females,Age 35 to 49,Africa: North Africa,342
2011,E09000007,Females,Age 35 to 49,Africa: Central and Western Africa,647
2011,E09000007,Females,Age 35 to 49,Africa: South and Eastern Africa,1487
2011,E09000007,Females,Age 35 to 49,Africa: Africa not otherwise specified,15
2011,E09000007,Females,Age 35 to 49,Middle East and Asia: Middle East,609
2011,E09000007,Females,Age 35 to 49,Middle East and Asia: Eastern Asia,945
2011,E09000007,Females,Age 35 to 49,Middle East and Asia: Southern Asia,1402
2011,E09000007,Females,Age 35 to 49,Middle East and Asia: South-East Asia,815
2011,E09000007,Females,Age 35 to 49,Middle East and Asia: Central Asia,24
2011,E09000007,Females,Age 35 to 49,The Americas and the Caribbean: North America and the Caribbean,1343
2011,E09000007,Females,Age 35 to 49,The Americas and the Caribbean: Central and South America,606
2011,E09000007,Females,Age 35 to 49,Antarctica and Oceania (including Australasia),690
2011,E09000007,Females,Age 35 to 49,Other,1
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: England,6986
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: Northern Ireland,116
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: Scotland,353
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: Wales,167
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: Great Britain not otherwise specified,1
2011,E09000007,Females,Age 50 to 64,Europe: United Kingdom: United Kingdom not otherwise specified,1
2011,E09000007,Females,Age 50 to 64,Europe: Ireland,611
2011,E09000007,Females,Age 50 to 64,Europe: Other Europe: EU countries: Member countries in March 2001,871
2011,E09000007,Females,Age 50 to 64,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,378
2011,E09000007,Females,Age 50 to 64,Europe: Other Europe: Rest of Europe,394
2011,E09000007,Females,Age 50 to 64,Africa: North Africa,158
2011,E09000007,Females,Age 50 to 64,Africa: Central and Western Africa,346
2011,E09000007,Females,Age 50 to 64,Africa: South and Eastern Africa,696
2011,E09000007,Females,Age 50 to 64,Africa: Africa not otherwise specified,18
2011,E09000007,Females,Age 50 to 64,Middle East and Asia: Middle East,427
2011,E09000007,Females,Age 50 to 64,Middle East and Asia: Eastern Asia,319
2011,E09000007,Females,Age 50 to 64,Middle East and Asia: Southern Asia,881
2011,E09000007,Females,Age 50 to 64,Middle East and Asia: South-East Asia,655
2011,E09000007,Females,Age 50 to 64,Middle East and Asia: Central Asia,12
2011,E09000007,Females,Age 50 to 64,The Americas and the Caribbean: North America and the Caribbean,816
2011,E09000007,Females,Age 50 to 64,The Americas and the Caribbean: Central and South America,324
2011,E09000007,Females,Age 50 to 64,Antarctica and Oceania (including Australasia),243
2011,E09000007,Females,Age 50 to 64,Other,0
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: England,3302
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: Northern Ireland,68
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: Scotland,183
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: Wales,116
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Females,Age 65 to 74,Europe: United Kingdom: United Kingdom not otherwise specified,0
2011,E09000007,Females,Age 65 to 74,Europe: Ireland,485
2011,E09000007,Females,Age 65 to 74,Europe: Other Europe: EU countries: Member countries in March 2001,511
2011,E09000007,Females,Age 65 to 74,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,209
2011,E09000007,Females,Age 65 to 74,Europe: Other Europe: Rest of Europe,134
2011,E09000007,Females,Age 65 to 74,Africa: North Africa,65
2011,E09000007,Females,Age 65 to 74,Africa: Central and Western Africa,134
2011,E09000007,Females,Age 65 to 74,Africa: South and Eastern Africa,303
2011,E09000007,Females,Age 65 to 74,Africa: Africa not otherwise specified,6
2011,E09000007,Females,Age 65 to 74,Middle East and Asia: Middle East,155
2011,E09000007,Females,Age 65 to 74,Middle East and Asia: Eastern Asia,104
2011,E09000007,Females,Age 65 to 74,Middle East and Asia: Southern Asia,408
2011,E09000007,Females,Age 65 to 74,Middle East and Asia: South-East Asia,205
2011,E09000007,Females,Age 65 to 74,Middle East and Asia: Central Asia,0
2011,E09000007,Females,Age 65 to 74,The Americas and the Caribbean: North America and the Caribbean,357
2011,E09000007,Females,Age 65 to 74,The Americas and the Caribbean: Central and South America,78
2011,E09000007,Females,Age 65 to 74,Antarctica and Oceania (including Australasia),88
2011,E09000007,Females,Age 65 to 74,Other,2
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: England,2200
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: Northern Ireland,39
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: Scotland,96
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: Wales,72
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: Great Britain not otherwise specified,35
2011,E09000007,Females,Age 75 to 84,Europe: United Kingdom: United Kingdom not otherwise specified,3
2011,E09000007,Females,Age 75 to 84,Europe: Ireland,448
2011,E09000007,Females,Age 75 to 84,Europe: Other Europe: EU countries: Member countries in March 2001,416
2011,E09000007,Females,Age 75 to 84,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,188
2011,E09000007,Females,Age 75 to 84,Europe: Other Europe: Rest of Europe,55
2011,E09000007,Females,Age 75 to 84,Africa: North Africa,31
2011,E09000007,Females,Age 75 to 84,Africa: Central and Western Africa,41
2011,E09000007,Females,Age 75 to 84,Africa: South and Eastern Africa,144
2011,E09000007,Females,Age 75 to 84,Africa: Africa not otherwise specified,1
2011,E09000007,Females,Age 75 to 84,Middle East and Asia: Middle East,103
2011,E09000007,Females,Age 75 to 84,Middle East and Asia: Eastern Asia,61
2011,E09000007,Females,Age 75 to 84,Middle East and Asia: Southern Asia,225
2011,E09000007,Females,Age 75 to 84,Middle East and Asia: South-East Asia,64
2011,E09000007,Females,Age 75 to 84,Middle East and Asia: Central Asia,0
2011,E09000007,Females,Age 75 to 84,The Americas and the Caribbean: North America and the Caribbean,158
2011,E09000007,Females,Age 75 to 84,The Americas and the Caribbean: Central and South America,37
2011,E09000007,Females,Age 75 to 84,Antarctica and Oceania (including Australasia),44
2011,E09000007,Females,Age 75 to 84,Other,0
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: England,1163
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: Northern Ireland,20
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: Scotland,45
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: Wales,42
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: Great Britain not otherwise specified,0
2011,E09000007,Females,Age 85 and over,Europe: United Kingdom: United Kingdom not otherwise specified,0
2011,E09000007,Females,Age 85 and over,Europe: Ireland,187
2011,E09000007,Females,Age 85 and over,Europe: Other Europe: EU countries: Member countries in March 2001,260
2011,E09000007,Females,Age 85 and over,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011,112
2011,E09000007,Females,Age 85 and over,Europe: Other Europe: Rest of Europe,29
2011,E09000007,Females,Age 85 and over,Africa: North Africa,18
2011,E09000007,Females,Age 85 and over,Africa: Central and Western Africa,5
2011,E09000007,Females,Age 85 and over,Africa: South and Eastern Africa,40
